Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
11244,"[1.23950996769064, 1.36862854775299]",0,BCR,0.7333,0.3235,36.8921,0.1443
7165,"[0.82360564350160703, 1.15816531754668]",0,E2A, , , , 
8799,"[0.70962812131488706, 1.03304820515368]",0,E2A,0.9259,0.5102,77.2324,0.3172
4263,"[1.5666645624996103, 1.9563735442977102]",0,Hyperdip, , , , 
7672,"[1.3392702464908399, 1.9105210134242601]",0,Hyperdip,0.7188,0.902,115.1253,0.5297
5823,"[1.33165351126207, 1.7100723053749498]",0,MLL,0.95,0.2676,45.5793,0.2141
7537,"[1.17391529401575, 1.71981412135055]",0,T, , , , 
322,"[0.53217044647039791, 0.80039628685612796]",0,T,0.9302,0.7143,113.2605,0.4886
3278,"[1.0781985797754499, 1.5154298020993302]",0,TEL,0.9241,0.7604,127.0335,0.6842
