Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
5785,22.15,1.45980967628,0.220063814866
8822,35.06,0.958021171211,0.190942290944
4402,22.19,1.32332608984,0.211351918433
1906,18.78,2.15273391869,0.320646026827
10898,29.01,1.05908691224,0.202816410065
8281,36.32,0.962137797062,0.203303282501
418,28.34,2.54634964973,0.624898771932
8394,8.99,2.87830480405,0.415105701201
6943,22.18,1.95922545816,0.41300793655
6119,24.57,1.8735927903,0.320836194583
7797,38.2,1.58664602803,0.273178598454
2683,44.21,0.994915956893,0.179287429372
