Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
2830,7.99,2.23594378495,0.197179902813
8204,14.63,0.721687713139,0.142063494933
8516,23.69,1.23944145116,0.197773211825
3674,22.18,1.27296054684,0.276314105025
7555,25.89,1.13776095761,0.128373317761
10298,24.26,1.56895931664,0.190931413941
3320,33.08,1.25707320479,0.198910872531
7340,36.64,1.24459362641,0.184896403361
6774,12.28,2.45099547813,0.170478548346
4885,18.75,1.2594639297,0.238160924201
11718,23.89,2.12850501742,0.450790789727
11925,44.64,1.10267080922,0.222871552284
8695,36.11,1.39128757584,0.229768069348
5785,33.54,1.45980967628,0.220063814866
