Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
11450,"[1.2870633279720702, 1.3325584183183001]",0,BCR, , , , 
3214,"[0.64789952360231595, 0.74872839833613902]",0,BCR,0.7333,0.5,46.4691,0.156
3258,"[0.61765963642680699, 0.93112788840763894]",0,E2A, , , , 
6598,"[0.63916844641553705, 0.91787461173005502]",0,E2A,0.963,0.6047,89.1534,0.3438
7453,"[1.6698857188353, 2.3226831275781201]",0,Hyperdip, , , , 
8215,"[0.84174309137696701, 1.0984208313409201]",0,Hyperdip,0.8594,0.6875,107.7837,0.5541
3267,"[1.1229123095020199, 2.0782056627096899]",0,MLL, , , , 
561,"[1.24460033783404, 1.5850146809801102]",0,MLL,0.95,0.4634,66.4454,0.2531
7413,"[0.92367894820279706, 1.6783026995538]",0,T,1.0,0.86,137.7209,0.5537
11597,"[0.64737971056937005, 1.0013288376073701]",0,TEL, , , , 
12334,"[1.0122708401740899, 1.4049563443973601]",0,TEL, , , , 
9873,"[0.995178326480609, 1.5829488959818998]",0,TEL,0.9367,0.8409,143.665,0.7414
