Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
1807,6.17,3.10705496769,0.252646217385
11401,11.29,1.42374944492,0.25563366751
9078,22.92,1.70355907092,0.41002122452
9801,18.06,2.0594253639,0.324300847113
521,31.59,0.717898119909,0.125840691051
2202,42.34,2.61076780406,0.3724869319
9635,18.56,1.43571839866,0.124143825926
1171,8.48,1.58551193123,0.243059297744
5996,14.46,1.76368310924,0.376844112731
670,36.03,1.24105618365,0.218781386022
8320,26.9,2.54752444372,0.539283356636
1483,10.8,1.20469336308,0.169457760089
