metric,mean,std,mean±std,min,max,median
exceptionality,0.7800,0.0837,0.7800±0.0837,0.7000,0.9000,0.8000
#sg,10.0000,0.0000,10.0000±0.0000,10.0000,10.0000,10.0000
length,1.9200,0.0837,1.9200±0.0837,1.8000,2.0000,1.9000
sgCov,0.5475,0.0782,0.5475±0.0782,0.4524,0.6357,0.5423
setCov,0.9762,0.0467,0.9762±0.0467,0.8929,1.0000,0.9940
description redundancy,0.0881,0.0496,0.0881±0.0496,0.0296,0.1519,0.0667
coverage redundancy,0.6848,0.1686,0.6848±0.1686,0.4729,0.8822,0.6995
CR,0.4999,0.0896,0.4999±0.0896,0.3915,0.5959,0.4914
model redundancy,0.6756,0.2286,0.6756±0.2286,0.4667,1.0000,0.6444
