0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
0.0033708,0.0014448,0.001182,0.0517048,0.0461124,0.0029656,0.0024044,0.0018416,0.0026946,0.0458594,0.0397276,0.002971,0.0012608,0.0015718,0.0031892,0.0464934,0.0424424,0.0013076,0.000377,0.0007822,0.002525,0.0422292,0.0504716,0.002338,0.0008778,0.001194,0.0418982,0.0477732,0.0024998,0.0013834,0.0008372,0.0506706,0.0551026,-0.0006888,0.0016422,0.001152,0.0487152,0.0455056,0.0009932,0.0022374,0.002367,0.0387014,0.0500508,0.0022622,0.0017356,0.0014332,0.046551,0.0531166,0.002918,0.0020898,0.0013654,0.0378716,0.055329,0.0024974,0.002038,0.0032642,0.0435442,0.048701,0.0019618,0.001933,0.002438,0.0015122,0.0397978,0.0527702,0.003158,0.0010656,0.0016464,0.0017646,0.0390978,0.0470792,0.0002986,0.0015148,0.00144346666667,0.0500344,0.0503792,0.0018672,0.001367,0.0023916,0.0509164,0.0492686,0.0009326,0.000522,0.0020198,0.0392136,0.0482572,0.0022002,0.0027388,0.0011134,0.002069,0.0376474,0.0507336,0.0020542,0.0004146,0.0015048,0.0411636,0.0435648,0.0026418,0.0019012,0.001392,0.045906,0.044996,0.0004792,0.0008762,0.0018526,0.0466332,0.0480312,0.0013504,0.0015032,0.0022532,0.0028566,0.0429384,0.0405064,0.0016808,0.0020736,0.0029636,0.0451504,0.050309,0.0024338,0.0028296,0.0019186,0.0023762,0.0424194,0.0395994,0.0019546,0.0025382,0.0026816,0.0454064,0.046851,0.0008432,0.0024362,0.0011186,0.0412244,0.0439266,0.0022208,0.0029528,0.0026928,0.0022072,0.044104,0.0479488,0.001379,0.000898,0.0017694,0.0021862,0.0007594,0.0518128,0.0467138,0.0009418,0.0002522,0.001709,0.049953,0.0513914,0.002225,0.0010928,0.0027786,0.0425366,0.042996,-7.96e-05,0.0007216,0.0006078,0.0019978,0.0028132,0.0473648,0.0463592
-0.0023018,-0.0028722,-0.0033716,0.0621512,0.0638826,-0.000859,-0.0035352,-0.0023786,-0.001873,0.0550702,0.052861,0.0004096,-0.0035472,-0.0032466,-0.0004624,0.0580274,0.0542138,-0.0053954,-0.0060704,-0.0018998,-0.0012842,0.0530732,0.0588092,-0.003797,-0.0038894,-0.0046116,0.0570682,0.0550646,-0.0014694,-0.0023464,-0.005475,0.0586324,0.0596272,-0.0030922,-0.0034572,-0.003352,0.0592252666667,0.0579218,-0.0053018,-0.003815,-0.0028368,0.0493736,0.0601162,-0.0018562,-0.0033932,-0.0025354,0.0584466,0.0681,-0.0022784,-0.00476,-0.0020052,0.0460122,0.0603262,-0.0032698,-0.004722,-0.0019836,0.062002,0.0661916,-0.0028144,-0.0034276,-0.0050776,-0.0071898,0.0542038,0.0639262,-0.0020434,-0.0071216,-0.0038714,-0.0049208,0.049144,0.0532306,-0.0042264,-0.0031698,-0.0039682,0.0570732,0.0616924,-0.003556,-0.003985,-0.003334,0.0630802,0.0658384,-0.004829,-0.004928,-0.0010714,0.0502622,0.0596772,-0.002896,-0.002938,-0.0037168,-0.0043156,0.056944,0.059455,-0.0043786,-0.0049164,-0.004086,0.0570904,0.0480382,-0.0053812,-0.003155,-0.0059646,0.0611656,0.0558706,-0.0063422,-0.007301,-0.005661,0.060324,0.058631,-0.004628,-0.0017346,-0.0024568,-0.0014508,0.0519948,0.0534198,0.0002032,-0.0030154,-0.0014454,0.0636004,0.067061,-0.0029332,-0.0022334,-0.0034986,-0.0041288,0.056903,0.0509924,-0.0029016,-0.0022774,-0.00116,0.0618134,0.0578128,-0.0047878,-0.0022982,-0.003216,0.0561794,0.0597664,-0.002943,-0.0007366,-0.0034228,-0.0032934,0.0578766,0.0592444,-0.0035102,-0.002769,-0.0035834,-0.0035576,-0.0024394,0.0494688,0.056261,-0.0063068,-0.0046394,-0.0024114,0.0662378,0.0590084,-0.0042536,-0.0020528,-0.0016866,0.0602312,0.0614492,-0.004634,-0.0031286,-0.0023756,-0.0047912,-0.0030626,0.0548126,0.0574016
-0.0063084,-0.0084474,-0.0107198,0.0679566,0.0668948,-0.0091986,-0.0085818,-0.0109430666667,-0.0069004,0.0608268,0.0667244,-0.0048538,-0.0076466,-0.0084102,-0.0064604,0.0614088,0.0591248,-0.0104264,-0.008919,-0.0085428,-0.0052074,0.0643248,0.0670812,-0.0109986,-0.0077956,-0.0122818666667,0.062148,0.0651906,-0.0068712,-0.0093836,-0.0113814,0.0640634,0.0653948,-0.0076438,-0.008171,-0.0088342,0.0599992666667,0.0590888,-0.0087876,-0.0100366,-0.0096398,0.0579534,0.0656422,-0.007455,-0.0109334,-0.0078976,0.0508218,0.0744484666667,-0.0090328,-0.0115372,-0.0087272,0.0528462,0.0694836,-0.0123232,-0.0096,-0.0095524,0.0697884,0.0631934,-0.010396,-0.0074874,-0.0109546,-0.0144656,0.0638794,0.0636984,-0.010914,-0.0121274,-0.0096778,-0.0079172,0.0672004,0.058197,-0.0088772,-0.0069646,-0.012205,0.0662536,0.0745664,-0.008075,-0.0097638,-0.0086526,0.069314,0.0754624,-0.009084,-0.0096788,-0.0063696,0.0504652,0.063142,-0.007293,-0.0087788,-0.010407,-0.0104576,0.0662318,0.056592,-0.0121216,-0.0123482,-0.013534,0.0587252,0.049984,-0.0096844,-0.0075914,-0.013036,0.0658278,0.060226,-0.0144164,-0.0153858,-0.0114544,0.0661938,0.0635052,-0.0095542,-0.009853,-0.0051392,-0.0123072,0.0552934666667,0.0570312,-0.0076722,-0.0091342,-0.0088122,0.0697138,0.0737584,-0.0102394,-0.0063442,-0.010508,-0.0114584,0.0712056,0.060043,-0.0093754,-0.01002,-0.01038,0.0677452,0.0671724,-0.0098822,-0.0073988,-0.0083668,0.0661854,0.0689984,-0.0094626,-0.0096638,-0.0108314,-0.0126998,0.0702066,0.0648066,-0.0066528,-0.010645,-0.0095814,-0.0094474,-0.0099634,0.058446,0.0625146,-0.015329,-0.0084704,-0.0123807333333,0.071234,0.0652297333333,-0.0115332,-0.0091274,-0.0075126,0.067281,0.065345,-0.0097138,-0.0099618,-0.0089662,-0.0103978,-0.0111944,0.0557954,0.0670996
-0.013008,-0.0199056,-0.0192272,0.0759878,0.07126,-0.0155446,-0.0185996,-0.0157582,-0.0170134,0.0604546,0.0708596,-0.0143992,-0.0108826,-0.0206516,-0.0096064,0.0667738666667,0.0618962,-0.0177424,-0.0157278,-0.0150004,-0.0131856,0.0661020666667,0.0639586,-0.0192572,-0.0175488,-0.0201586,0.0607948,0.0753752,-0.0120668,-0.0155408,-0.0156916,0.0652858,0.066906,-0.0177539333333,-0.0148498,-0.0140318,0.0686150666667,0.0485934,-0.0173412,-0.0181244,-0.0162748,0.068691,0.0663368,-0.0131462,-0.0171234,-0.0188526,0.055766,0.0734594666667,-0.0153722,-0.0190486,-0.011198,0.0613000666667,0.070557,-0.0185836666667,-0.0173096,-0.01379,0.0742076,0.0630918,-0.0159392,-0.0177877333333,-0.0159186,-0.0200682,0.0660756,0.0718466,-0.0192956,-0.0175898,-0.0149254,-0.018633,0.0730324,0.0505204,-0.0132808,-0.0160062,-0.0125542,0.0670662,0.0755628,-0.01819,-0.0177798666667,-0.0165762,0.0599132,0.083066,-0.0144904,-0.0153182,-0.0129322,0.0549046,0.0735726,-0.0158452,-0.0100606,-0.0177896,-0.017001,0.066458,0.059413,-0.0199074,-0.0194702,-0.016982,0.0623186,0.0511716,-0.0186946,-0.0098814,-0.0162931333333,0.0658506,0.064994,-0.0216464,-0.0216280666667,-0.0193513333333,0.0760906,0.0592744,-0.0123024,-0.0228614,-0.010619,-0.0206303333333,0.0632848666667,0.0634182,-0.0128718,-0.0188762,-0.0124614666667,0.07634,0.0731888,-0.0172187333333,-0.0117954,-0.0174786,-0.0140772,0.0713556,0.0620682,-0.0164942,-0.0140346,-0.0190383333333,0.0647172,0.0660756,-0.0169297333333,-0.014279,-0.014334,0.0665316,0.0569768,-0.0163866,-0.0172338,-0.0207242,-0.0157523333333,0.0773602,0.0634238,-0.0133515333333,-0.0151694,-0.0193238,-0.0155682,-0.0128100666667,0.061659,0.0707608,-0.0167994,-0.0139832,-0.0179916,0.0643194,0.0661959333333,-0.0154322,-0.0162622,-0.0159348,0.065622,0.0702672,-0.0165546,-0.0155812,-0.0164758,-0.013726,-0.0173312,0.0610644,0.0705018
-0.0219526,-0.025286,-0.027887,0.0687918,0.0684854,-0.0199863333333,-0.0292358,-0.0210382,-0.0226882,0.0585133333333,0.075953,-0.0216244,-0.0198762,-0.0297366,-0.0200287333333,0.0628582666667,0.055986,-0.0240277333333,-0.0218109333333,-0.0241508,-0.019619,0.0661708,0.0590138,-0.027706,-0.0240602,-0.0273193333333,0.0631806,0.0673688,-0.0197126,-0.0172634,-0.0212533333333,0.0686216,0.0556592,-0.025984,-0.0202224,-0.019906,0.0634546666667,0.0635078,-0.0239414,-0.022432,-0.0243234,0.0768878,0.0646968,-0.0188612,-0.0242556,-0.0206138,0.0622874,0.0676804,-0.0228354,-0.022835,-0.0188516,0.062064,0.0678216,-0.0235544,-0.024571,-0.0216268,0.0720118,0.0768116,-0.0206002,-0.0240080666667,-0.0241678,-0.0256338,0.0691838,0.0715206666667,-0.0241136,-0.0248752,-0.0228558,-0.0274312,0.0646498,0.0546208,-0.01719,-0.0226992,-0.0220562,0.0660674,0.0793352,-0.0235756,-0.0207712666667,-0.025766,0.0601876,0.0760802,-0.0203342,-0.0187836,-0.0200306,0.059563,0.0715484,-0.0225128,-0.0180868,-0.0226984,-0.0244274,0.0686538,0.0660694,-0.0279272,-0.0220017333333,-0.022777,0.0600717333333,0.0563218,-0.0249004,-0.017087,-0.0226664666667,0.058006,0.0647128666667,-0.0290172,-0.0243222666667,-0.02469,0.0799138,0.0708034666667,-0.0174902,-0.0261619333333,-0.0201742,-0.0268555333333,0.0605450666667,0.0613808,-0.0233634,-0.0203926,-0.0205798,0.07231,0.066866,-0.0243221333333,-0.0201576,-0.0235163333333,-0.0242061333333,0.0744811333333,0.0614184666667,-0.0183276,-0.018806,-0.0185644,0.060682,0.0644774,-0.0258952,-0.0205446,-0.0223524,0.0665186,0.073393,-0.0212602,-0.0206498,-0.0275536,-0.021922,0.0757326,0.0646368666667,-0.0196148,-0.0194954,-0.0281518,-0.0175575333333,-0.0219004,0.0617752,0.0683044,-0.024292,-0.0247218,-0.026267,0.0585438666667,0.0595665333333,-0.0218036,-0.019339,-0.0235746,0.0661794,0.0655908,-0.0240606,-0.0215824,-0.0208966,-0.0195394,-0.0232136,0.0625162666667,0.0738508
-0.0252452,-0.0280303333333,-0.0283698,0.0719983333333,0.0740536,-0.0240954,-0.0344004666667,-0.0233292,-0.030373,0.0677249333333,0.0762496666667,-0.0251609333333,-0.0250616,-0.0376509333333,-0.023306,0.0664466,0.0601042,-0.0308168,-0.02544,-0.0263912,-0.0235605333333,0.062817,0.0623204666667,-0.0346792,-0.0323468,-0.0363304666667,0.0693914,0.065783,-0.02819,-0.0254322,-0.027426,0.0572148666667,0.0552334666667,-0.0312054,-0.0254452,-0.0257926,0.0677530666667,0.0589854666667,-0.0288724,-0.0281088,-0.0206332,0.0764138,0.0654932,-0.0267934,-0.031612,-0.0246724666667,0.0660654,0.0623867333333,-0.0266033333333,-0.0270802,-0.0245412666667,0.0569744,0.0594788,-0.0355155333333,-0.0275856,-0.0311438,0.0780526,0.0679114,-0.0287302,-0.0257052,-0.0345987333333,-0.0332251333333,0.0671006,0.0715436666667,-0.0301298,-0.0298728,-0.0285292,-0.0356906,0.0572664,0.0535224,-0.022157,-0.0339658,-0.0331514,0.070451,0.0785148666667,-0.0240738,-0.0270934,-0.0278331333333,0.0570708,0.068075,-0.0277966,-0.022029,-0.0264728,0.0682682,0.0633406,-0.0295762,-0.0213914,-0.029052,-0.0320832,0.0731038666667,0.0679326666667,-0.0420736,-0.0273902,-0.027551,0.0569488,0.0545202,-0.031995,-0.0239672,-0.0285096,0.0625026666667,0.0619546666667,-0.0297907333333,-0.0280263333333,-0.0293722,0.0757846666667,0.0668814,-0.0197294,-0.0296954,-0.0273426,-0.0280249333333,0.0513952,0.0557724,-0.028841,-0.025861,-0.0253964,0.0693565333333,0.0683966,-0.0310657333333,-0.0260935333333,-0.0302601333333,-0.0263569333333,0.0676970666667,0.0610708666667,-0.0233966,-0.0238086,-0.0255674,0.0678526,0.0769869333333,-0.0291254,-0.0215115333333,-0.0317674,0.0684308,0.0674474,-0.0257192,-0.0286592,-0.0328864666667,-0.0277054,0.0760369333333,0.060982,-0.0241204,-0.0270078,-0.0301145333333,-0.0200426,-0.0232788,0.0612033333333,0.0630999333333,-0.0287922,-0.0313944,-0.0314052,0.0549845333333,0.0625268,-0.027918,-0.0248142,-0.0269384,0.0578452,0.0564682,-0.0305266,-0.0241614,-0.0293798666667,-0.02711,-0.0274504,0.0608318666667,0.0724868
-0.0311438,-0.0346234,-0.0345216,0.0629261333333,0.0649897333333,-0.0276888,-0.035923,-0.0251142,-0.0348271333333,0.07184,0.0759344666667,-0.0320979333333,-0.0280652666667,-0.0376856666667,-0.0249476,0.0589962,0.0633996,-0.0323218,-0.0306806,-0.0323064666667,-0.0316435333333,0.0667766,0.0678508,-0.0334909333333,-0.035068,-0.034482,0.0690306,0.0634218,-0.0345972,-0.0327363333333,-0.031509,0.0549063333333,0.0531701333333,-0.0328252,-0.0310354666667,-0.0301894,0.062285,0.0605953333333,-0.0338404,-0.033445,-0.0281156,0.0697863333333,0.0662872,-0.0349996,-0.0336074,-0.0290474,0.0703324,0.0585484666667,-0.0317034,-0.0295674,-0.0302736666667,0.0466148,0.0522082,-0.0420378666667,-0.033658,-0.033952,0.0837236,0.0714842,-0.035266,-0.0312378,-0.0341795333333,-0.0369620666667,0.0581538666667,0.0613900666667,-0.0332828,-0.0379562,-0.0349005333333,-0.0393466,0.0650673333333,0.0551888666667,-0.024868,-0.0373465333333,-0.0364439333333,0.0727056,0.0626347333333,-0.0319928,-0.0356212,-0.0356336666667,0.0517216,0.0724942,-0.032128,-0.0253253333333,-0.028529,0.0621958,0.0620918,-0.036645,-0.0243368,-0.0359194,-0.0363547333333,0.0617670666667,0.0783598666667,-0.0438518,-0.0341112,-0.0305892,0.0550301333333,0.0522772666667,-0.0344192666667,-0.0306904,-0.036228,0.0607480666667,0.0634560666667,-0.0353167333333,-0.0297035333333,-0.036246,0.0761926666667,0.0625972,-0.0286079333333,-0.0327679333333,-0.0306594,-0.0278251333333,0.0454136,0.0444211333333,-0.034224,-0.0335139333333,-0.0329809333333,0.0632592,0.0645328666667,-0.0422256666667,-0.0327986,-0.0352624,-0.0335304666667,0.0679848,0.0591694666667,-0.025739,-0.0276998,-0.0324188,0.0693281333333,0.0753814666667,-0.0337396,-0.0289012,-0.0336544,0.0660394666667,0.0656692,-0.0332078,-0.0336476666667,-0.0412193333333,-0.0323834666667,0.0741676666667,0.0720246,-0.0304346,-0.0298076,-0.0339894666667,-0.0226554,-0.029706,0.0614323333333,0.0641192,-0.0373077333333,-0.0303802,-0.0397022,0.0632698666667,0.0631266,-0.02663,-0.0305524,-0.0278944,0.0511720666667,0.0641146666667,-0.0357103333333,-0.0279846,-0.0341783333333,-0.0342484,-0.0297212,0.0613192,0.0689058
-0.0374436,-0.0338971333333,-0.033593,0.064651,0.0632816,-0.031398,-0.0386562,-0.031408,-0.0431816666667,0.0674358,0.0673036666667,-0.0384034666667,-0.0348634666667,-0.0434001333333,-0.0296226,0.0544731333333,0.0598501333333,-0.0423876,-0.0324028,-0.0371658666667,-0.0321766,0.0477194666667,0.0619703333333,-0.0400311333333,-0.033263,-0.0382136,0.0644654,0.0646702,-0.0360062,-0.0382283333333,-0.0336499333333,0.0517567333333,0.0426296666667,-0.0353898666667,-0.0332237333333,-0.0346235333333,0.0547376666667,0.0432854,-0.0427932,-0.037697,-0.029644,0.0562621333333,0.0672049333333,-0.0422278,-0.0372322,-0.0374096,0.0698934666667,0.0530994,-0.0368835333333,-0.0393146,-0.0359272666667,0.0495574,0.0492482,-0.0468600666667,-0.0355626,-0.0431718,0.0806802,0.0713078,-0.0394687333333,-0.0345664,-0.0392242,-0.0420087333333,0.0574280666667,0.049501,-0.037507,-0.0352307333333,-0.0336912666667,-0.044292,0.061438,0.0577676,-0.0375098,-0.0423116,-0.0463168,0.0661123333333,0.0568706,-0.0313786,-0.0373388,-0.0385386666667,0.0547062,0.0703194666667,-0.0368852,-0.0279778,-0.0345860666667,0.0565705333333,0.0645558666667,-0.0379108,-0.0324362,-0.0429700666667,-0.0373487333333,0.0574605333333,0.0745150666667,-0.042328,-0.040122,-0.0352142,0.0529412666667,0.0540342,-0.0381322666667,-0.0401716,-0.0408264,0.0679802,0.0662738666667,-0.0415318,-0.0314841333333,-0.0363616,0.0675601333333,0.0620686666667,-0.03083,-0.0399636666667,-0.0390225333333,-0.0321043333333,0.0531597333333,0.0440598,-0.0410764,-0.0394636666667,-0.0389142666667,0.0670528666667,0.070964,-0.0450796,-0.037237,-0.0369249333333,-0.0404174,0.0822241333333,0.0580872,-0.0329246,-0.0354614,-0.032129,0.0668541333333,0.0753322666667,-0.0324504,-0.0319126,-0.0355842,0.0618298,0.0701545333333,-0.0371178,-0.0378264666667,-0.044289,-0.0387837333333,0.0757326666667,0.0670372,-0.0343618,-0.033574,-0.0361578,-0.0301314,-0.0358228,0.0634852666667,0.0687570666667,-0.0430469333333,-0.0336336,-0.0383168,0.0725881333333,0.0605602,-0.0331588,-0.0336126666667,-0.0353975333333,0.0602292,0.059973,-0.0350627333333,-0.0337362,-0.0358728666667,-0.038699,-0.0355988,0.0591696,0.064884
-0.0404854666667,-0.0395231333333,-0.0360726,0.0654377333333,0.0577523333333,-0.036712,-0.0369981333333,-0.0345083333333,-0.0443182,0.0770837333333,0.0628530666667,-0.0396792,-0.0420590666667,-0.0412608,-0.0318348,0.0507118666667,0.0507018,-0.0428690666667,-0.0357074,-0.0390134,-0.0383158666667,0.0490644666667,0.0669934,-0.0435522666667,-0.0414704,-0.0459388,0.0602656,0.0629216,-0.0352923333333,-0.0449234,-0.0326632666667,0.050549,0.0365271333333,-0.0384351333333,-0.0337678,-0.0378301333333,0.0568078666667,0.0394138,-0.0422194,-0.0364352,-0.0349888,0.0578374666667,0.070059,-0.043164,-0.0421428666667,-0.0449906,0.0701162666667,0.0540639333333,-0.0425227333333,-0.0400116666667,-0.0352015333333,0.0452935333333,0.0580030666667,-0.0500884,-0.0367978,-0.0438992,0.0734321333333,0.0758026,-0.0485693333333,-0.0447244,-0.0394731333333,-0.0437504,0.0639845333333,0.0409648666667,-0.0372057333333,-0.0408556666667,-0.0366256,-0.0485956666667,0.0498778666667,0.0573513333333,-0.0364886,-0.0443386,-0.0488934,0.071981,0.0540835333333,-0.0342401333333,-0.0426808,-0.0391714,0.0658670666667,0.0733483333333,-0.0391565333333,-0.0342356,-0.0368928,0.0439007333333,0.0618514,-0.0332334,-0.0392525333333,-0.046751,-0.0421216,0.0594844666667,0.0638904666667,-0.0468284,-0.0378082,-0.035722,0.0660392,0.0504779333333,-0.0381798666667,-0.0423888666667,-0.0420796666667,0.0657757333333,0.061238,-0.0435622,-0.0350421333333,-0.046106,0.0706129333333,0.068974,-0.0293416,-0.0470750666667,-0.0426684,-0.0315953333333,0.0510061333333,0.0387915333333,-0.0470312666667,-0.0415901333333,-0.0356718,0.0609775333333,0.0666648,-0.0491564,-0.0465246,-0.0394608,-0.0396801333333,0.072611,0.06527,-0.0402506,-0.0413242,-0.0337664,0.0652282,0.059727,-0.0399664666667,-0.0328058,-0.0412932,0.0577436666667,0.0526218,-0.0425205333333,-0.035871,-0.0474739333333,-0.0379076,0.0735589333333,0.0678510666667,-0.033959,-0.0381816,-0.0381952,-0.0304314,-0.0401576,0.0709124,0.0674090666667,-0.0422495333333,-0.040757,-0.0383504,0.0822777333333,0.0588839333333,-0.039889,-0.0352977333333,-0.0409188666667,0.0692236,0.0574564666667,-0.0386242,-0.0401708,-0.0399635333333,-0.0444055333333,-0.037027,0.0597962,0.0645948666667
-0.0460782666667,-0.0441712666667,-0.0413206,0.0622137333333,0.0550578666667,-0.0377025333333,-0.0440806,-0.0378259333333,-0.0459186666667,0.0788987333333,0.0590462666667,-0.043221,-0.0434540666667,-0.0470761333333,-0.0373364,0.0684308,0.0474917333333,-0.0437581333333,-0.0351374,-0.0379135333333,-0.0417273333333,0.0683543333333,0.0680536666667,-0.0412658,-0.0375082,-0.0454422,0.0573956666667,0.0638115333333,-0.0387336666667,-0.0529661333333,-0.0357009333333,0.0565315333333,0.0269370666667,-0.0432947333333,-0.0424,-0.0423425333333,0.0476532,0.0421215333333,-0.0397916666667,-0.0418036666667,-0.0405078,0.0592477333333,0.0720398666667,-0.0472736,-0.0458770666667,-0.0434794666667,0.062718,0.0491806,-0.0477720666667,-0.0469037333333,-0.0396412666667,0.0497066666667,0.0626301333333,-0.0474458,-0.044377,-0.0415052,0.0748091333333,0.0743613333333,-0.0461276,-0.0446293333333,-0.0430688,-0.0392055333333,0.0727852,0.038975,-0.0426347333333,-0.0452096666667,-0.0400464,-0.0485585333333,0.0507035333333,0.0520398666667,-0.0379563333333,-0.0453075333333,-0.0462291333333,0.0603300666667,0.0601033333333,-0.0366108,-0.0433642666667,-0.0458066666667,0.0574421333333,0.0643569333333,-0.0437181333333,-0.0370384666667,-0.034887,0.0452649333333,0.0504008,-0.0393809333333,-0.0410200666667,-0.0555452,-0.0407883333333,0.0622126666667,0.0591350666667,-0.050459,-0.0402574,-0.0396162,0.0686809333333,0.049766,-0.0432271333333,-0.0491476,-0.0463424666667,0.0715796,0.0610657333333,-0.0492774,-0.0415249333333,-0.0483745333333,0.0725102666667,0.068733,-0.0372746,-0.0501497333333,-0.0426606666667,-0.0318261333333,0.0471796666667,0.0387894666667,-0.0466293333333,-0.0386617333333,-0.0409709333333,0.0569775333333,0.0636498,-0.0490123333333,-0.0483682,-0.0445884,-0.0432312,0.0649918,0.055683,-0.0476345333333,-0.0426111333333,-0.0429958,0.0715709333333,0.0608073333333,-0.0397848,-0.0382437333333,-0.0435188666667,0.0467547333333,0.0531609333333,-0.0451014,-0.0418261333333,-0.0470794666667,-0.0398536,0.0548594,0.0668736666667,-0.0378502,-0.0424891333333,-0.0438524,-0.0369068666667,-0.04548,0.0652231333333,0.0674320666667,-0.0436318,-0.0420372,-0.0391588666667,0.0745466666667,0.0553492,-0.0417926,-0.0378465333333,-0.044699,0.0651565333333,0.0630369333333,-0.0444664,-0.0415706,-0.0427008666667,-0.0459808,-0.0415716,0.0626092,0.0694343333333
