Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
1,"['O', 'I']",0,C, , , , 
0,"['S', 'R', 'H']",0,C,0.7368,0.5833,101.6873,0.4138
1,"['C', 'I']",0,D, , , , 
0,"['S', 'K', 'A']",0,D,0.5568,0.5698,72.3033,0.3167
0,['X'],0,B,1.0,1.0,208.4245,0.643
5,['2'],0,F, , , , 
1,"['O', 'I']",0,F, , , , 
0,"['K', 'S', 'A']",0,F, , , , 
8,['2'],0,F, , , , 
10,"['1', '0']",0,F,1.0,0.1176,24.9303,0.0782
1,['X'],0,H,1.0,1.0,208.4245,0.643
0,"['K', 'A']",0,E, , , , 
11,['0'],0,E, , , , 
6,['2'],0,E, , , , 
8,['2'],0,E,0.8571,0.1935,39.2725,0.148
