Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
324,8.22,0.75897,0.0924946634547
33,24.03,0.94962,0.378094909923
774,14.33,0.83032,0.170743511562
1267,9.47,0.65939,0.133158581956
1119,17.36,0.89652,0.17606676197
