0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
0.0414242,0.0343952,0.033558,0.0429726,0.0387328,0.039033,0.041934,0.0366582,0.0333518,0.0417192,0.0375944,0.03725,0.0416614,0.0366146,0.0336688,0.041222,0.0370694,0.0371088,0.0453252,0.0365042,0.0331078,0.040865,0.039143,0.0378806,0.043232,0.0361544,0.0335626,0.0424478,0.0367686,0.03834,0.0423128,0.0363178,0.0343368,0.039495,0.0375604,0.038738,0.0426724,0.0376102,0.0331154,0.040708,0.0382116,0.0396932,0.04516,0.0344636,0.0321942,0.0423576,0.0374338,0.0389786,0.0418844,0.0369654,0.032778,0.0402492,0.0379958,0.03878,0.0404606,0.0367816,0.0344754,0.0424736,0.037446,0.0393294,0.0432272,0.0369216,0.0337772,0.0441316,0.0383446,0.0392748,0.0430472,0.0371028,0.0329558,0.0411968,0.0398676,0.0373266,0.0430524,0.0362408,0.0329984,0.0414092,0.0379944,0.036385,0.041945,0.0357194,0.0334628,0.0425736,0.0386446,0.0399524,0.0444366,0.0367762,0.0346614,0.0423766,0.0380592,0.043122,0.0384482,0.0385142,0.0321814,0.0388094,0.0385692,0.036658,0.0423466,0.0373382,0.0334066,0.0414924,0.0403694,0.0386488,0.0435738,0.036935,0.0322158,0.0428328,0.0379248,0.036868,0.0431788,0.0370792,0.0320572,0.0412386,0.0371626,0.0359198,0.042508,0.035732,0.033164,0.040772,0.0378368,0.0383638,0.0432288,0.0356682,0.0331286,0.0415148,0.0383464,0.0385838,0.0424034,0.0358816,0.0316534,0.0411808,0.0376932,0.0377726,0.0418638,0.0373828,0.0334176,0.0409204,0.0376552,0.0369156,0.0411212,0.0353312,0.0332822,0.0415472,0.0391954,0.039234,0.0415278,0.0366396,0.0342816,0.0423484,0.0393482,0.0386356,0.0425696,0.037496,0.0332932,0.0430392,0.0400242,0.0395974,0.0432702,0.0360404,0.0324898,0.042067,0.0391356,0.039762,0.0443974,0.0353354,0.0351818,0.042681,0.0381518,0.0385538,0.0451752,0.0369044,0.0326412,0.0379372,0.0388602,0.0377114,0.0425786,0.0361134,0.0327866,0.041977,0.0391712,0.038169
0.0425002,0.0351332,0.0339898,0.0424574,0.0384216,0.0386426,0.0438448,0.0365706,0.0327676,0.0433708,0.0387976,0.03787,0.0424978,0.0381606,0.0338398,0.0414892,0.0384492,0.0378992,0.0460204,0.037511,0.0328524,0.041131,0.0395368,0.039325,0.0454092,0.0368038,0.0331694,0.0420768,0.037205,0.0399916,0.0440104,0.0365812,0.035214,0.0397938,0.037705,0.0411242,0.0440364,0.0373884,0.032487,0.0418098,0.0374962,0.0412678,0.047809,0.0342474,0.0318308,0.044206,0.0379876,0.0395754,0.0437492,0.0372602,0.0336642,0.040623,0.039593,0.0400994,0.0412156,0.0369058,0.0346974,0.0432878,0.0379596,0.0407772,0.0450028,0.037226,0.034056,0.0444736,0.0388128,0.041406,0.0446958,0.0367936,0.0325216,0.0413414,0.040075,0.0376646,0.045344,0.0367724,0.0339188,0.041085,0.0383974,0.0376462,0.043535,0.035336,0.033773,0.0442994,0.0388548,0.0406142,0.0463746,0.0369076,0.034433,0.042912,0.0385484,0.045201,0.0411412,0.0388596,0.0322236,0.0393706,0.0391944,0.0383448,0.0438454,0.0380014,0.0338316,0.0418422,0.0412108,0.0394792,0.0455322,0.0379742,0.0326598,0.044198,0.0385848,0.0381216,0.0437998,0.036919,0.0324614,0.0424094,0.0383244,0.0369838,0.0438582,0.0369186,0.0329348,0.0412966,0.038152,0.0405164,0.0432146,0.0360486,0.0329378,0.0428018,0.03881,0.040339,0.0438286,0.036229,0.031556,0.0412986,0.038365,0.0394858,0.0433332,0.0381202,0.033394,0.0420258,0.0378502,0.0376204,0.0422274,0.035391,0.033764,0.0424216,0.0395638,0.0409158,0.042756,0.0366734,0.0344178,0.0432548,0.0404338,0.0397972,0.0451166,0.0378284,0.0338652,0.043808,0.0405432,0.0396204,0.0452854,0.0367984,0.0330898,0.0425502,0.0397972,0.0410578,0.0465908,0.0361046,0.0350286,0.0426712,0.0377668,0.0400074,0.048566,0.0371112,0.033687,0.0381924,0.0398216,0.0369408,0.0455568,0.036051,0.0332766,0.0427958,0.0395718,0.0403736
0.0447298,0.0356438,0.0344034,0.0440432,0.0387634,0.0394212,0.0445274,0.0370168,0.0332234,0.0451282,0.040179,0.0395358,0.0436328,0.0383908,0.0348524,0.041889,0.0384842,0.0406144,0.0468822,0.0377648,0.0336952,0.0427452,0.0403028,0.040097,0.0464262,0.0371542,0.033697,0.0423008,0.038203,0.041585,0.0458918,0.0368284,0.0354678,0.0409596,0.0382404,0.0419418,0.046916,0.037487,0.0330676,0.0421584,0.0379302,0.0424092,0.0485356,0.0339826,0.031937,0.045167,0.038376,0.0401334,0.0444776,0.0376858,0.0350526,0.0415706,0.0401882,0.0411974,0.0428686,0.0374524,0.0346146,0.0431936,0.038348,0.0418948,0.0462898,0.0375852,0.0338506,0.045592,0.039593,0.0434966,0.0463664,0.0379986,0.0331934,0.0419036,0.0405136,0.0386662,0.0465102,0.0375514,0.0336766,0.0421498,0.0388464,0.038169,0.045063,0.036388,0.0335592,0.0449624,0.0391566,0.0424026,0.0483114,0.037929,0.0341246,0.0433702,0.0395,0.046124,0.0445784,0.0394476,0.0329828,0.040948,0.0387986,0.0405862,0.0443146,0.038737,0.0341542,0.0428682,0.0425254,0.0395432,0.0475336,0.0390912,0.032777,0.0454726,0.0388558,0.0400312,0.044638,0.037852,0.0325268,0.0427932,0.0401132,0.03768,0.045257,0.0373334,0.0331408,0.0423516,0.0388286,0.0413424,0.0463062,0.036938,0.033249,0.042904,0.0397936,0.040823,0.0474428,0.036978,0.0316556,0.041639,0.0388554,0.0413354,0.0458162,0.0384836,0.03408,0.0425404,0.0382852,0.0387406,0.0433528,0.0350708,0.0343814,0.0437064,0.0405728,0.0420336,0.0453608,0.0368956,0.0354194,0.0434308,0.0405598,0.041692,0.046524,0.038207,0.0345622,0.0444574,0.0407646,0.0407612,0.0471488,0.0366368,0.034126,0.0426382,0.0405444,0.0415572,0.0488016,0.0364926,0.0350314,0.0432244,0.037853,0.041386,0.0496762,0.0375416,0.0342858,0.0398454,0.0408174,0.0383606,0.0476818,0.0362458,0.0329686,0.0434486,0.040077,0.0413812
0.046127,0.0357228,0.0346836,0.0450192,0.0393386,0.0406356,0.0453814,0.0376994,0.0330006,0.0459818,0.0407032,0.0408088,0.0456464,0.038425,0.0346774,0.0436706,0.0392788,0.0419028,0.0486414,0.0378354,0.0340246,0.0436554,0.0409166,0.0424732,0.0486586,0.0378792,0.0343714,0.0433294,0.038653,0.043475,0.0479986,0.0366924,0.0366696,0.0426276,0.0393196,0.0430072,0.0482496,0.0373268,0.0325682,0.0424974,0.0399928,0.0445142,0.0504754,0.0343308,0.0323176,0.0452824,0.038641,0.040487,0.0466632,0.0378224,0.0357138,0.0432202,0.0402556,0.043645,0.0436314,0.0372702,0.0347764,0.0437002,0.0396194,0.0426412,0.0485496,0.0387984,0.034289,0.0461894,0.0403646,0.044328,0.0484066,0.0380122,0.0342654,0.0428028,0.0413582,0.0400292,0.0477238,0.038321,0.0338312,0.043536,0.0397034,0.0396396,0.0459254,0.036111,0.0348618,0.0460596,0.0399338,0.04398,0.0504948,0.0374572,0.0342206,0.043905,0.0401662,0.0486346,0.0462278,0.0395468,0.0342484,0.0418718,0.0394402,0.0411376,0.0461456,0.0391736,0.0348202,0.0433708,0.0441972,0.0410768,0.0493802,0.0401224,0.032115,0.046558,0.040272,0.0413422,0.046242,0.038316,0.0327164,0.0429846,0.0408842,0.0385684,0.0466354,0.037559,0.033371,0.0438058,0.0395658,0.0421396,0.0485464,0.0376238,0.0331676,0.0440222,0.040209,0.0425418,0.0484318,0.0378328,0.0321126,0.0420252,0.039875,0.0429798,0.0470736,0.0390806,0.034855,0.0423092,0.0391346,0.0389068,0.0443222,0.0350206,0.0346104,0.0439942,0.0412008,0.0430918,0.0468468,0.0369784,0.0359658,0.044497,0.0411314,0.0420376,0.0488706,0.0382316,0.0351336,0.0445532,0.0424332,0.042656,0.0484668,0.0373722,0.0350856,0.0433882,0.0401254,0.0428268,0.0502744,0.0366156,0.0361036,0.0447678,0.0390882,0.0424908,0.0512082,0.0370046,0.0352252,0.0406996,0.0426436,0.0405234,0.0497152,0.037502,0.0331756,0.04439,0.0413446,0.0422564
0.046508,0.0360494,0.0351028,0.0463168,0.0395852,0.0416282,0.047544,0.0377224,0.0338142,0.0478018,0.0417932,0.0437916,0.048102,0.0390646,0.0352578,0.0452548,0.040718,0.0446788,0.0498696,0.0386902,0.0346972,0.0441606,0.041082,0.0436616,0.0497642,0.038855,0.0350886,0.0444848,0.0395012,0.04327,0.0488822,0.0376674,0.037822,0.0426572,0.039488,0.0434642,0.0498862,0.0378034,0.0330302,0.0436984,0.0410356,0.0449752,0.0535762,0.0356524,0.0332194,0.0463256,0.0400566,0.0411878,0.0485868,0.038303,0.036459,0.044915,0.0414826,0.0439196,0.0455996,0.0376286,0.0350342,0.0444164,0.0410268,0.04471,0.0500332,0.0394374,0.034598,0.0481862,0.0414264,0.0459126,0.0513466,0.038093,0.0348082,0.0434052,0.0420762,0.0413014,0.0482106,0.0395474,0.0356704,0.0453782,0.0400318,0.0406092,0.0477918,0.0367266,0.0347072,0.0461628,0.0406374,0.0455966,0.0510686,0.0379556,0.0341654,0.0438162,0.0401,0.0503732,0.0475178,0.0401974,0.0341778,0.0418074,0.0398984,0.0420288,0.0494924,0.039286,0.0348174,0.0434752,0.0439488,0.0428028,0.0508736,0.0409322,0.0328332,0.048136,0.0415094,0.0431842,0.048547,0.0390872,0.0329726,0.0450332,0.0414086,0.0395786,0.0482414,0.0385262,0.0339534,0.0441988,0.0398402,0.042793,0.0492648,0.0376826,0.033787,0.0452036,0.0402574,0.0440194,0.0499944,0.037956,0.0328588,0.0431516,0.0418648,0.0433738,0.0487132,0.0390572,0.0350194,0.0443052,0.0398488,0.0409476,0.0462286,0.035562,0.035479,0.0447914,0.0420474,0.0438436,0.0490614,0.0373462,0.0371314,0.0451732,0.0414936,0.0437156,0.0504782,0.0391992,0.0357552,0.0456598,0.0440144,0.0435474,0.051389,0.0376472,0.0354668,0.0446726,0.0414326,0.0459524,0.0521576,0.038022,0.0371748,0.0467928,0.0390242,0.0442704,0.0521794,0.03814,0.0357312,0.0417714,0.0428964,0.0404582,0.0502638,0.0377736,0.0335926,0.046064,0.0412792,0.0439792
0.0476904,0.0378796,0.036501,0.0475644,0.039976,0.0420296,0.0485188,0.0388526,0.0343326,0.0479944,0.042387,0.0448936,0.0503894,0.0395556,0.0353368,0.0453226,0.0407882,0.0453984,0.0530196,0.0392676,0.0346402,0.0456044,0.0420032,0.0440076,0.0506302,0.03954,0.036076,0.0449514,0.0396484,0.044921,0.0522914,0.0386538,0.037486,0.0435792,0.0407858,0.0448316,0.0513556,0.0382722,0.0331886,0.044284,0.0419796,0.0458482,0.054471,0.0366076,0.0338278,0.0487856,0.041153,0.0439906,0.050118,0.0380678,0.036576,0.0463944,0.0416274,0.0455744,0.046875,0.039232,0.0359626,0.04481,0.041727,0.045063,0.0508562,0.0395588,0.0348568,0.0484946,0.0420118,0.0475358,0.0543608,0.03896,0.0347684,0.0431434,0.0432188,0.0419152,0.0498772,0.0399082,0.0366714,0.0468536,0.0404572,0.0408928,0.0494724,0.0378658,0.035042,0.0473686,0.0412924,0.0455758,0.0519024,0.0383164,0.0348398,0.045845,0.0403698,0.0533388,0.0489178,0.041465,0.0346334,0.0435662,0.041135,0.0428804,0.051251,0.0396122,0.0360252,0.0454532,0.044805,0.0449662,0.052328,0.041261,0.0335276,0.0479772,0.0427412,0.044375,0.0496084,0.0395664,0.0330702,0.0466586,0.0431158,0.040715,0.0507394,0.0399224,0.0341184,0.0439826,0.0404702,0.0448524,0.051647,0.038053,0.0345594,0.0464502,0.040984,0.0452578,0.0514624,0.038543,0.0332702,0.0436982,0.04302,0.044573,0.0517138,0.0399222,0.036761,0.0457468,0.0407176,0.0425474,0.0475464,0.036503,0.0368458,0.0457808,0.0421374,0.0451194,0.0503942,0.037368,0.0380446,0.0457552,0.041509,0.0455248,0.052993,0.0393088,0.0359534,0.0466836,0.0439902,0.0457436,0.0543112,0.0378128,0.0364978,0.0452604,0.0426254,0.0476988,0.0553054,0.0390516,0.0369222,0.0467264,0.0407386,0.0473452,0.0548496,0.0387906,0.0359232,0.0422622,0.0440552,0.0416018,0.0534114,0.0378754,0.0339034,0.047631,0.0419994,0.046064
0.049433,0.0385948,0.037428,0.0484334,0.0408956,0.0434954,0.0497962,0.039277,0.034354,0.0484368,0.0433966,0.045716,0.0513184,0.0398152,0.0360078,0.0456714,0.041084,0.0469476,0.0556984,0.0396164,0.0353352,0.0471596,0.0431008,0.0448872,0.054205,0.0401134,0.0362542,0.0462968,0.0405134,0.0467732,0.0538082,0.0395524,0.0374648,0.0444934,0.041364,0.0462,0.0528854,0.039376,0.0336782,0.044805,0.0422426,0.0470026,0.056957,0.0371876,0.0343156,0.0495966,0.0417566,0.0449888,0.0519236,0.0385124,0.0363856,0.046917,0.0429194,0.0469524,0.0474978,0.0392986,0.0362096,0.0456406,0.042277,0.0459236,0.052631,0.0398272,0.0346768,0.0501456,0.0423498,0.04847,0.055211,0.0387254,0.0353186,0.0446276,0.0429322,0.0449182,0.0517594,0.0401276,0.0370144,0.0479516,0.0415258,0.041605,0.0500792,0.0389378,0.0357258,0.0478668,0.0419368,0.0458148,0.0541176,0.038759,0.03502,0.0471438,0.0410492,0.054122,0.0510574,0.041417,0.035721,0.044965,0.041757,0.0457168,0.0539932,0.040188,0.0365238,0.0451282,0.0456226,0.0458644,0.0551196,0.0423888,0.0334548,0.0483684,0.0435156,0.0455186,0.0531354,0.0406168,0.0333344,0.046895,0.0444792,0.0417486,0.051787,0.0400754,0.0352924,0.0443218,0.0417594,0.0457508,0.0544786,0.0385744,0.0341962,0.0476624,0.0416038,0.0468858,0.0533326,0.0383862,0.0331828,0.0439452,0.0437158,0.046091,0.0538178,0.040763,0.0371972,0.0463002,0.0416864,0.0435914,0.0496368,0.0368424,0.037033,0.0463792,0.0427494,0.0466308,0.0519696,0.0380082,0.038924,0.0466566,0.0425084,0.0462528,0.0541942,0.0408238,0.0365928,0.047226,0.0447066,0.0474628,0.0566742,0.0383004,0.0368812,0.0457942,0.0436152,0.0489852,0.05711,0.0389066,0.037649,0.047292,0.0416376,0.0484956,0.0554706,0.0396884,0.0366942,0.0437668,0.0445776,0.0429802,0.0551484,0.0392064,0.0345554,0.0481066,0.0425478,0.0464206
0.05096,0.039203,0.0384438,0.0484598,0.0415874,0.0458622,0.0516452,0.0411064,0.0354874,0.0488056,0.044536,0.0472582,0.0532936,0.0403158,0.0363664,0.0469316,0.0422888,0.0489344,0.0574584,0.0401708,0.0360654,0.048341,0.043976,0.0458244,0.0562196,0.040763,0.0358656,0.0472992,0.0418888,0.0474166,0.0547454,0.0401254,0.0374352,0.046842,0.0426734,0.0480834,0.0535546,0.0399738,0.0342418,0.0450984,0.0435338,0.0483692,0.0582892,0.038119,0.0353128,0.049518,0.0417358,0.046108,0.0538168,0.0388188,0.0374072,0.0483786,0.0431596,0.0475954,0.049105,0.0399678,0.0357952,0.0466018,0.042922,0.0477774,0.0543276,0.0398112,0.0350442,0.0506948,0.0429992,0.0496064,0.0570754,0.0389218,0.0351868,0.0458884,0.0437124,0.045986,0.053655,0.040792,0.037074,0.0483792,0.0425408,0.0430574,0.0513694,0.0387894,0.0366096,0.0488466,0.0422626,0.048121,0.0563276,0.0395178,0.0363962,0.049095,0.0407136,0.0549832,0.0533336,0.0426662,0.0361218,0.0458208,0.042525,0.0471848,0.0543424,0.0409878,0.0375058,0.0460406,0.0459874,0.0461158,0.0561814,0.0423414,0.0347708,0.049953,0.0443184,0.045846,0.0540762,0.0410006,0.034062,0.0476718,0.0454734,0.0432742,0.054515,0.0404452,0.0358986,0.0451566,0.0420102,0.0460342,0.0567656,0.040307,0.0352926,0.0483696,0.0427514,0.0497508,0.0559266,0.038818,0.0330334,0.0449482,0.043968,0.0489692,0.055529,0.0414096,0.0373922,0.0466562,0.04332,0.0444254,0.050862,0.0373206,0.0371346,0.047339,0.0437078,0.0471402,0.0537584,0.0382898,0.0391988,0.0485488,0.0433774,0.0474746,0.0554066,0.0408896,0.0368374,0.0487144,0.0449842,0.0506244,0.0577048,0.0394356,0.037546,0.047904,0.0446792,0.049967,0.0586892,0.0391488,0.0382742,0.0466942,0.0426322,0.0501746,0.0574258,0.0396794,0.0367542,0.0446426,0.0445782,0.0446942,0.0568502,0.039567,0.035125,0.0492486,0.043138,0.0481122
0.0524752,0.0401908,0.039083,0.0492418,0.0422262,0.0475402,0.0539176,0.041963,0.0358098,0.0492516,0.0448426,0.0482688,0.0557048,0.0408478,0.0365446,0.046475,0.0435918,0.0506446,0.058946,0.0411692,0.0362364,0.0484892,0.0445272,0.047192,0.0580406,0.0418362,0.0364226,0.0480968,0.0426636,0.0488386,0.0567152,0.040224,0.037882,0.0478504,0.0429634,0.0499526,0.0558232,0.040594,0.0342694,0.0458804,0.0446786,0.0491096,0.0596272,0.0387786,0.0360226,0.050635,0.0429568,0.0483882,0.0557544,0.039607,0.0389112,0.0487704,0.043682,0.0488376,0.050623,0.0402412,0.036202,0.0472614,0.0437168,0.0489208,0.0569162,0.0399752,0.0353364,0.0513344,0.0447078,0.050986,0.059452,0.039388,0.0356314,0.04652,0.0444202,0.0472522,0.0547596,0.0426984,0.0384572,0.0493798,0.0426062,0.0450264,0.0524914,0.0390404,0.0366054,0.0500992,0.0441466,0.0480644,0.0589472,0.0399968,0.0365352,0.0502316,0.0411766,0.0562914,0.0545932,0.0431328,0.0368296,0.0471738,0.0442598,0.0486198,0.0572326,0.0408954,0.0376804,0.047747,0.0465398,0.0471332,0.0580726,0.0427212,0.035174,0.0510918,0.0448426,0.046241,0.055762,0.0410916,0.0346136,0.0488996,0.0469462,0.0437138,0.0553332,0.040406,0.0361528,0.045362,0.0425732,0.0478866,0.057009,0.041573,0.0365214,0.049183,0.0436372,0.0498878,0.0572878,0.0399196,0.0333424,0.0469998,0.044262,0.0505158,0.0570606,0.0418946,0.0387376,0.0476732,0.04319,0.0450238,0.052906,0.038645,0.037885,0.0488024,0.0446566,0.0494734,0.0563196,0.0392334,0.0403086,0.0486082,0.0438872,0.0488358,0.057604,0.0416392,0.0367702,0.0485942,0.0446494,0.0517388,0.0592956,0.0397626,0.0372718,0.049513,0.0455802,0.0517696,0.058572,0.0402754,0.0383996,0.0483644,0.0439244,0.0516298,0.0577728,0.040623,0.0379496,0.0469128,0.0451426,0.0453502,0.0585778,0.0394068,0.0356242,0.0504998,0.0433774,0.048951
0.0544462,0.0405366,0.0391716,0.0502996,0.0434348,0.0485412,0.0562942,0.0421064,0.036193,0.0497492,0.0458566,0.049991,0.058036,0.0406696,0.0364158,0.047739,0.044344,0.0514178,0.060824,0.0424992,0.0365648,0.0496756,0.044759,0.0488504,0.059388,0.0421142,0.0366584,0.048325,0.04285,0.0520786,0.057821,0.040486,0.0381252,0.0490298,0.0435282,0.0500716,0.0573404,0.0407814,0.0345704,0.046554,0.045821,0.0502842,0.0612474,0.0388746,0.0365426,0.0520172,0.0431284,0.0497928,0.0586022,0.0401916,0.0397072,0.0499708,0.0449888,0.0495936,0.0517322,0.0408372,0.0370238,0.0478108,0.0450852,0.0502786,0.0581876,0.040335,0.0355086,0.051802,0.0454658,0.0518782,0.0613648,0.0410212,0.0364004,0.0471646,0.0454498,0.0494462,0.0565932,0.043273,0.0396192,0.0493588,0.0432272,0.046876,0.0554418,0.0388704,0.0376402,0.0513304,0.0457544,0.0485294,0.060127,0.0402066,0.0364768,0.0519176,0.0423564,0.0572422,0.0563496,0.0438466,0.0380114,0.048161,0.0451696,0.0495326,0.058732,0.0418498,0.038613,0.0497888,0.0478432,0.0494516,0.05918,0.0431882,0.0359154,0.0518918,0.0447338,0.0470196,0.0582162,0.0422934,0.0352062,0.0500306,0.0474718,0.0446206,0.0582436,0.0407306,0.0372318,0.0448984,0.0434666,0.0483656,0.0579524,0.0414008,0.0369726,0.0497416,0.0436954,0.0506426,0.0601192,0.0399846,0.0342884,0.0490174,0.0445006,0.0515392,0.058965,0.0425138,0.0395526,0.0477622,0.0434064,0.0468232,0.0530906,0.0390012,0.0374922,0.0504392,0.0456584,0.050469,0.0591188,0.0399582,0.0399984,0.0487042,0.043174,0.0510042,0.058426,0.0416172,0.037334,0.0492328,0.0450704,0.0518868,0.0607512,0.0401444,0.0390062,0.0504136,0.0455234,0.0524788,0.0594944,0.0412192,0.0392056,0.0498066,0.0438538,0.0528118,0.0586522,0.040838,0.0378408,0.0477526,0.0466308,0.0469958,0.0609418,0.0397984,0.0367826,0.0517312,0.0431814,0.0488748
