Rule_Obj,Rule_Score
"[['hgb', 'sex'], [[13.300000190734863, 17.299999237060547], ['F', 'M']]]",0.9418529937751725
"[['hgb'], [[13.199999809265137, 17.399999618530273]]]",0.9418529937751725
"[['age'], [[71, 93]]]",0.9418529937751725
"[['hgb', 'age'], [[12.100000381469727, 17.600000381469727], [56, 82]]]",0.9418526999873373
"[['sex', 'age'], [['M', 'F'], [65, 81]]]",0.9418457635713529
"[['age', 'pstat'], [[57, 77], ['0', '1']]]",0.9417241446549419
"[['pstat', 'hgb'], [['0'], [12.699999809265137, 16.100000381469727]]]",0.9415963928841214
"[['age', 'pstat', 'sex'], [[66, 83], ['0', '1'], ['F', 'M']]]",0.9412102604974691
"[['sex', 'hgb', 'pstat'], [['M', 'F'], [13.100000381469727, 16.100000381469727], ['0', '1']]]",0.9395205941782288
"[['creat'], [[0.699999988079071, 1.100000023841858]]]",0.9380691596488027
