metric,mean,std,mean±std,min,max,median
exceptionality,1.0000,0.0000,1.0000±0.0000,1.0000,1.0000,1.0000
#sg,10.0000,0.0000,10.0000±0.0000,10.0000,10.0000,10.0000
length,1.8733,0.1172,1.8733±0.1172,1.7000,2.1000,1.9000
sgCov,0.5658,0.0098,0.5658±0.0098,0.5487,0.5866,0.5657
setCov,0.9615,0.0260,0.9615±0.0260,0.8864,0.9978,0.9675
description redundancy,0.1689,0.0633,0.1689±0.0633,0.0778,0.3037,0.1574
coverage redundancy,0.6905,0.0295,0.6905±0.0295,0.6274,0.7510,0.6931
CR,0.5218,0.0112,0.5218±0.0112,0.5012,0.5432,0.5206
model redundancy,0.2496,0.0749,0.2496±0.0749,0.1111,0.3778,0.2556
