metric,mean,std,mean±std,min,max,median
exceptionality,1.0000,0.0000,1.0000±0.0000,1.0000,1.0000,1.0000
#sg,10.0000,0.0000,10.0000±0.0000,10.0000,10.0000,10.0000
length,2.3433,0.1278,2.3433±0.1278,2.1000,2.6000,2.3000
sgCov,0.5345,0.0029,0.5345±0.0029,0.5277,0.5415,0.5346
setCov,0.8885,0.0723,0.8885±0.0723,0.8000,0.9949,0.8615
description redundancy,0.3049,0.1006,0.3049±0.1006,0.1074,0.5407,0.3148
coverage redundancy,0.7256,0.0679,0.7256±0.0679,0.5928,0.8394,0.7242
CR,0.4952,0.0089,0.4952±0.0089,0.4792,0.5071,0.4972
model redundancy,0.8807,0.1412,0.8807±0.1412,0.5778,1.0000,0.9444
