0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0.1666,0.2318,0.1438,0.2538,0.121,0.2392,0.121,0.1944,0.0908,0.2164,0.1438,0.2239,0.1442,0.2243,0.1438,0.2239,0.121,0.2019,0.121,0.2314,0.121,0.2239,0.1438,0.194,0.1438,0.2093,0.121,0.194,0.121,0.2392,0.1438,0.2239,0.121,0.209,0.209,0.1438,0.2093,0.1438,0.2538,0.121,0.1869,0.1438,0.1933,0.1438,0.1944,0.121,0.2239,0.1438,0.2019,0.121,0.2157,0.121,0.2389,0.1438,0.209,0.121,0.2239,0.121,0.2318,0.121,0.2164
0.1666,0.2318,0.1438,0.2538,0.121,0.2392,0.121,0.2019,0.1438,0.2164,0.1438,0.2239,0.1442,0.2243,0.1438,0.2239,0.121,0.2314,0.121,0.2314,0.121,0.2239,0.1438,0.2168,0.1438,0.2093,0.121,0.194,0.121,0.2392,0.1438,0.2239,0.121,0.2314,0.209,0.1438,0.2239,0.1438,0.2613,0.121,0.2015,0.1438,0.2239,0.1438,0.1944,0.121,0.2239,0.1438,0.2688,0.121,0.2157,0.121,0.2389,0.1438,0.2168,0.121,0.2239,0.121,0.2318,0.1438,0.2164
0.1666,0.2318,0.1438,0.2538,0.121,0.2392,0.1438,0.2019,0.1438,0.2164,0.1438,0.2239,0.1442,0.2538,0.1438,0.2239,0.1438,0.2314,0.121,0.2314,0.121,0.2314,0.1438,0.2239,0.1438,0.2093,0.121,0.194,0.121,0.2392,0.1438,0.2239,0.121,0.2314,0.209,0.1438,0.2239,0.1438,0.2613,0.121,0.2154,0.1438,0.2239,0.1438,0.1944,0.121,0.2314,0.1438,0.2688,0.121,0.2157,0.121,0.2389,0.1438,0.2314,0.121,0.2239,0.121,0.2318,0.1438,0.2164
0.1666,0.2318,0.1438,0.2538,0.121,0.2392,0.1438,0.2464,0.1438,0.2164,0.1438,0.2239,0.1442,0.2538,0.1438,0.2239,0.1438,0.2314,0.1438,0.2314,0.121,0.2314,0.1438,0.2239,0.1438,0.2239,0.1438,0.194,0.121,0.2392,0.1438,0.2531,0.1438,0.2314,0.2164,0.1438,0.2239,0.1438,0.2755,0.121,0.2154,0.1438,0.2239,0.1438,0.2093,0.121,0.2314,0.1438,0.2688,0.121,0.2168,0.1438,0.2389,0.1438,0.2318,0.121,0.2239,0.121,0.2318,0.1438,0.2164
0.1666,0.2318,0.1438,0.2538,0.121,0.2392,0.1438,0.2464,0.1438,0.2314,0.1438,0.2239,0.1442,0.2538,0.1438,0.2239,0.1438,0.2613,0.1438,0.2392,0.121,0.2314,0.1438,0.2239,0.1438,0.2239,0.1438,0.194,0.121,0.2464,0.1438,0.2531,0.1438,0.2318,0.2164,0.1438,0.2239,0.1438,0.2755,0.121,0.2154,0.1438,0.2239,0.1438,0.2093,0.121,0.2314,0.1438,0.2688,0.1438,0.2168,0.1666,0.2389,0.1438,0.2538,0.121,0.2531,0.121,0.2318,0.1438,0.2164
0.1666,0.2318,0.1438,0.2538,0.121,0.2392,0.1438,0.2464,0.1438,0.2314,0.1666,0.2239,0.1442,0.2538,0.1438,0.2464,0.1438,0.2613,0.1438,0.2392,0.121,0.2314,0.1438,0.2239,0.1438,0.2239,0.1438,0.194,0.121,0.2464,0.1438,0.2531,0.1438,0.2318,0.2164,0.1438,0.2613,0.1438,0.2755,0.121,0.2154,0.1438,0.2239,0.1438,0.2093,0.121,0.2314,0.1438,0.2688,0.1438,0.2318,0.1666,0.2389,0.1438,0.2538,0.1591,0.283,0.121,0.2318,0.1438,0.2243
0.1666,0.2318,0.1438,0.2538,0.121,0.2609,0.1438,0.2464,0.1438,0.2314,0.1666,0.2243,0.1442,0.2538,0.1591,0.2542,0.1438,0.2613,0.1438,0.2392,0.121,0.2314,0.1438,0.2239,0.1438,0.2239,0.1442,0.2008,0.121,0.2464,0.1438,0.2531,0.1438,0.2531,0.2164,0.1438,0.2613,0.1438,0.2834,0.121,0.2314,0.1438,0.2239,0.1438,0.2093,0.121,0.2318,0.1438,0.2688,0.1438,0.2318,0.1666,0.2389,0.1438,0.2538,0.1591,0.283,0.121,0.2318,0.1438,0.2243
0.1666,0.2542,0.1438,0.2538,0.121,0.2609,0.1438,0.2464,0.1438,0.2318,0.1666,0.2606,0.1442,0.2538,0.1591,0.2542,0.1438,0.2613,0.1591,0.2392,0.121,0.2314,0.1438,0.2688,0.1438,0.2239,0.1442,0.2019,0.121,0.2464,0.1438,0.2531,0.1438,0.2531,0.2164,0.1438,0.2613,0.1438,0.2834,0.121,0.2314,0.1438,0.2239,0.1438,0.2093,0.1438,0.2318,0.1438,0.2688,0.1438,0.2318,0.1666,0.2389,0.1438,0.2538,0.1591,0.283,0.121,0.2318,0.1438,0.2243
0.1666,0.2542,0.1438,0.2538,0.121,0.2609,0.1438,0.2464,0.1438,0.2318,0.1666,0.2606,0.1666,0.2538,0.1591,0.2542,0.1438,0.2613,0.1591,0.2688,0.121,0.2389,0.1438,0.2688,0.1438,0.2243,0.1442,0.2019,0.121,0.2464,0.1438,0.2531,0.1438,0.2531,0.2613,0.1438,0.2613,0.1438,0.2834,0.1442,0.2392,0.1438,0.2239,0.1438,0.2239,0.1438,0.2318,0.1438,0.2688,0.1438,0.2464,0.1666,0.2389,0.1438,0.2538,0.1591,0.283,0.121,0.2318,0.1438,0.2314
0.1666,0.2542,0.1438,0.2538,0.121,0.2755,0.1438,0.2688,0.1438,0.2318,0.1666,0.2606,0.1666,0.2688,0.1591,0.283,0.1438,0.2613,0.1591,0.2688,0.121,0.2389,0.1438,0.2688,0.1438,0.2243,0.1442,0.2243,0.121,0.2464,0.1438,0.2531,0.1591,0.2912,0.2613,0.1666,0.2613,0.1666,0.2834,0.1442,0.2392,0.1438,0.2318,0.1438,0.2239,0.1438,0.2318,0.1438,0.2688,0.1438,0.2464,0.1666,0.2389,0.1438,0.2538,0.1591,0.283,0.121,0.2318,0.1438,0.2755
