0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.001249,-0.0019906,-0.0068324,-0.0024654,-0.0006118,0.0068778,-0.0046528,0.0012378,0.0017934,-0.0113398,-0.014279,-0.0024354,0.001843,-0.0013722,0.0004298,-0.0001902,0.001338,-0.000474,-0.0069916,0.006858,-0.0021196,0.0015356,0.0034988,-0.0023078,-0.0017834,-0.006076,-0.0061374,-0.0116848,0.0022134,0.002681,-0.0025626,-0.0060214,-0.0080356,-0.0066974,-0.0003544,-0.0026306,-0.010661,0.005944,-0.005415,-0.0003494,0.0015782,0.0085694,-0.0050786,-0.0015022,-0.0110516,-0.000454,0.0015912,-0.0100108,-0.008059,-0.0073004,-0.0098074,-0.0033112,0.0003308,0.0045874,-0.0064674,0.002721,-0.000679,-0.0058294,-0.0094596,-0.0035058,-0.011295,-0.0051548,-0.0021524,-0.0012586,0.0037558,-0.0080908,0.0049756,-0.0093292,-0.0014024,-0.006067,-0.0023582,-0.0019906,-0.0038078,0.0004432,-0.0016068,-0.0012728,0.002257,-0.0045934,0.0004376,0.0011526
-0.0053132,-0.0069538,-0.0036624,0.00052,0.0002268,-0.0107074,-0.0002522,-0.002334,-0.0044068,-0.008286,-0.0211878,-0.0069192,-0.0022532,-0.0016212,0.0001692,-0.004091,-0.0080856,-0.00641,-0.0152068,0.00858,-0.0015686,0.0012984,0.0041162,-0.003793,-0.0052748,-0.0097288,-0.0051886,-0.020283,-0.0067942,-1.34e-05,-0.0087458,-0.0073238,-0.0083942,-0.0157626,-0.0049148,-0.0096368,-0.0096096,-0.0047832,-0.0039044,-0.0067946,-0.0027572,-0.007527,-0.0077812,-0.0047088,-0.0121418,-0.0071298,-0.0058684,-0.013708,-0.0106496,-0.013688,-0.0107734,-0.0140418,-0.004065,-0.0092274,-0.0045374,-0.0043846,-0.0049682,-0.0200152,-0.0091042,-0.002953,-0.002301,-0.015804,-0.0073414,0.0008116,-0.0080838,-0.010092,-0.006833,-0.0098368,-0.0062198,-0.0040658,-0.00879,0.0061086,-0.0024536,-0.0008192,-0.004101,-0.0109952,-0.0079154,-0.0034944,-0.0077354,0.0004772
-0.0126566,-0.0037386,-0.0092464,0.0075138,-0.000485,-0.0046918,-0.0071746,-0.0067574,-0.0037286,-0.0071264,-0.0043898,0.0044288,-0.0096136,-0.0038728,0.0035874,-0.0081834,-0.0136194,-0.0054312,-0.0062738,0.0061704,-0.0106922,-0.0064602,-0.0041444,-0.0080868,-0.0053864,0.000795,-0.0028402,-0.0074704,-0.0175114,-0.004422,-0.0066734,-0.0055468,-0.0028192,-0.0251176,-0.003087,-0.002294,-2.88e-05,-0.004892,0.0015094,-0.002209,-0.007118,-0.0044976,-0.0109486,-0.0007702,-0.0123224,-0.0097174,-0.0128656,-0.011493,-0.0095292,-0.0147016,-0.0015396,-0.0054842,-0.0041364,-0.0066042,0.0013298,-0.0051158,-0.0005936,-0.0027966,-0.0034846,-0.0063028,-0.004351,-0.0069876,-0.0071978,-0.0046768,-0.0084744,-0.0099492,-0.0060346,-0.0020964,-0.0021248,-0.0061574,-0.0056052,0.0052472,0.0007258,-0.0053824,0.0015212,-0.0153992,-0.008884,-0.0095816,-0.0156584,-0.0035104
-0.0061542,-0.001502,-0.0110732,0.0093942,0.0035466,-0.0037134,-0.0086344,-0.0150084,-0.0035428,-0.00366,-0.0009008,0.0095358,-0.0012736,-0.0066708,0.0009152,-0.0068018,-0.0040146,-0.0067518,-0.0079436,-0.0032796,-0.0059864,-0.004144,0.0019914,-0.0094418,-0.0005924,-2.36e-05,0.0019316,-0.0112556,-0.0163496,-0.006734,-0.0051556,-0.0084162,-0.007048,-0.020099,0.0025824,-0.0025402,-0.0063334,0.0008748,-0.0039956,-0.000925,-0.0077794,-0.0018636,-0.0120854,0.0080764,0.0056202,-0.0142682,-0.0134556,-0.004581,-0.0035196,-0.0108162,-0.0046238,-0.0060472,-0.001229,-0.0159826,0.0073318,-0.0002034,-0.0045808,0.0026906,-0.0018026,-0.0047496,-0.0013536,-0.0049098,-0.0045998,-0.0025566,-0.0016168,-0.0082706,-0.0006626,-0.0070864,0.0025202,-0.0015116,-0.001796,-0.0003948,0.0070446,-0.003127,0.0007826,-0.0127628,-0.0029332,-0.0066976,-0.0088072,-0.0007774
-0.006543,-0.0011246,-0.0012628,0.0036522,0.008087,-0.0014626,-0.0102846,-0.0122666,-0.0075588,-0.0060096,-0.0034374,0.0084478,-0.0034984,-0.0042206,-0.0079252,1.38e-05,0.0001274,0.0060304,-0.0069706,-0.0035196,-0.0073642,-0.006284,0.0074782,0.0035648,0.0004546,0.0065618,0.0036338,-0.0056464,-0.0181538,0.0038058,-0.0015604,-0.0072906,-0.0006044,-0.0132952,-0.0005196,-0.0008582,-0.0090428,0.0041734,-0.0014714,0.0032596,-0.0063776,-0.0040054,-0.005049,-0.001867,0.0080966,-0.0092764,-0.011277,-0.004503,0.0004256,-0.0070304,-0.001754,-0.0040832,0.0051054,-0.013624,0.0025028,0.0002374,0.0067078,0.0006532,-2.4e-06,-0.0005416,-0.0002452,-0.004211,-0.006244,-0.008314,0.0023772,0.0001328,0.0079388,-0.0031418,0.0077408,0.0051216,-0.0029146,0.001361,0.0032192,-0.0046658,0.0014964,0.0041708,-0.0058792,-0.0055386,-0.0017508,0.0032586
0.0032054,0.0100798,-0.0045254,0.0052746,0.0077276,0.0037388,-0.002039,0.0030152,-0.00241,0.0016602,0.0034122,0.0122402,0.0039384,-0.0028108,-0.0095744,0.0004148,0.0044246,0.0073296,-0.0020124,0.0015222,-0.0037454,0.0050472,0.0060912,-0.0014064,-0.000883,0.0128212,0.0077854,-0.0049752,-0.0075378,0.0047198,-0.000913,0.003331,0.0033838,-0.0032754,-0.000592,0.0006084,-0.0119718,0.009564,-0.0017724,0.0049378,-0.0012256,-0.0016876,-0.0051604,0.0041512,0.0057098,-0.002558,-0.0164484,-0.0020456,0.0040386,0.003446,0.0071678,0.0021486,0.0133008,-0.0059332,0.0120484,-0.00069,0.0094642,0.0003234,0.0084844,0.002375,0.006883,-0.0012448,-0.0006638,-0.0083332,0.0148564,-0.0025744,0.0099216,-0.0007606,0.0131404,0.0083894,-0.0027868,0.0059162,0.015122,-0.010953,0.0069228,0.0122374,-0.0081606,-0.000598,-0.0064196,0.0060356
0.0069644,0.0217138,0.0004066,0.0060476,0.0135382,0.0073772,0.0020866,0.001819,-0.0034718,0.0077302,-0.0018176,0.0052248,-0.0014832,0.001091,-0.0027998,0.0038148,-0.0022664,0.0105736,-0.0159758,0.0110186,-0.0042012,0.0110052,0.009189,-0.0008458,0.0046272,0.0005144,0.0100062,-0.00085,-0.004249,0.0107934,-0.0086198,0.0026772,-0.0004886,-0.008273,0.0033168,0.0009278,-0.0009346,0.0082528,-0.0035516,0.0053094,0.0055224,0.0009682,-9.96e-05,0.0015574,0.010478,0.0038412,-0.001012,-0.000492,0.0042284,0.0034042,0.0040464,0.0060208,0.0187038,-0.0094718,0.014324,-0.0041874,0.0133968,0.0017438,0.0074616,-0.0063342,0.0072088,0.0097266,0.0058542,-0.0046768,0.0161474,0.0113038,0.0183678,0.0084924,0.0139736,0.0143186,-0.0035106,0.0155462,0.013216,-0.0011174,0.0034178,0.0147342,0.0005702,0.0112586,0.0029252,0.014124
0.0094426,0.0253582,0.004912,0.0066454,0.0177788,0.0098914,0.0126186,0.0056268,-0.0045316,0.0092428,-0.0030344,0.0155142,0.004799,0.007595,-0.0018982,-0.0004092,0.006517,0.017017,-0.0118848,0.0092428,0.0029942,0.0183192,0.0138208,-0.0046438,0.0018776,0.016779,0.0205254,0.0034828,0.0021096,0.0126436,-0.0046264,0.0092158,0.005182,0.0011314,0.008005,0.0011488,0.0049634,0.0104906,0.005547,0.0122796,0.0169694,0.0008848,0.0005516,0.012427,0.0125702,0.0051368,0.0101,0.0030718,0.0109866,0.0161098,0.0047978,0.0046372,0.0113926,-0.0030154,0.0179508,-0.0034584,0.018143,0.0025592,0.0152438,-0.0094814,0.011612,0.01123,0.0156746,0.0095612,0.0194976,0.011762,0.0195874,0.0108532,0.0184932,0.01357,0.0048408,0.0136796,0.0103312,0.0021948,0.0110138,0.011503,-0.0002726,0.0196752,0.0035506,0.0088582
0.011113,0.0320116,0.0076864,0.0052338,0.0161618,0.008272,0.0079772,0.0164632,-0.001094,0.0138342,0.006843,0.016724,0.0094672,0.00475,0.0027368,-0.0084036,0.0043002,0.0163322,-0.0045364,0.0087858,0.0030676,0.0155986,0.0121186,-0.0002644,0.008129,0.0237586,0.0294848,0.0130298,0.005205,0.0087846,0.0097162,0.012796,0.0072376,0.0145416,0.0116746,0.0099746,0.0010218,0.0146812,0.003825,0.014879,0.0072164,0.0005062,-0.0036692,0.0238274,0.0170734,0.0136038,0.0052446,0.0118806,0.0110122,0.024679,0.0119124,0.010314,0.0172488,0.0051464,0.0225398,-0.0002086,0.0214942,0.0033212,0.0144384,0.0020502,0.0153524,0.008624,0.0165152,0.0073328,0.0205372,0.0200866,0.0229536,0.003309,0.0188658,0.0149694,0.0078526,0.0136662,0.0210836,0.007281,0.0182206,0.0144146,0.0031928,0.0284192,0.0129006,0.0117062
0.0152508,0.0431752,0.0154508,0.014708,0.0180184,0.0122784,0.001005,0.0222076,0.0040128,0.0133438,0.0062798,0.0270806,0.0066626,0.0118028,0.008687,0.0017166,0.01001,0.0263504,-0.0091536,0.014363,0.0060226,0.0203856,0.0257814,0.0044856,0.018321,0.0289858,0.031167,0.0217176,0.0089008,0.0128336,0.0005832,0.0076648,0.002668,0.0243034,0.012277,0.0087164,0.0016082,0.0169742,0.0061246,0.0217264,0.015951,0.0107684,0.0080048,0.0245356,0.0234526,0.0126606,0.0114862,0.0139736,0.015732,0.026743,0.0189014,0.013216,0.0192664,0.0076852,0.0188696,-0.0009336,0.0187496,-0.0079262,0.0141332,0.0099062,0.0189104,-0.0025204,0.014889,0.0131168,0.0216648,0.017308,0.0286546,0.0081954,0.022901,0.0151376,0.0066216,0.0233862,0.0144326,0.005347,0.0186618,0.0223716,0.00655,0.026269,0.0167178,0.0064888
